type,title,director,cast,country,release_year,rating,listed_in,added_year,added_month,duration_num,duration_unit,description
TV Show,Code beyond Glass,Casey Hayes,"Kai Reed, Sasha Collins",Other,2012,TV-MA,British TV Shows,2019,4,1,Season,"Across 1 season, this grounded british tv shows from Other (2012, TV-MA) follows characters caught in a small-town mystery across remote backroads. As the pressure builds, someone must decide who to trust, and nothing is what it seems. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Heist within Gold,Jamie Morgan,"Sasha Coleman, Alex Brooks",Other,2017,TV-PG,Action & Adventure,2017,11,93,min,"In 93 min, this quietly emotional action & adventure from Other (2017, TV-PG) follows characters caught in a city under siege behind closed doors. As the pressure builds, someone risks everything, and everything changes overnight. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,The Heist Files,Drew Hayes,"Taylor Walker, Sam Miller",South Africa,2018,TV-PG,Documentaries,2018,4,79,min,"In 79 min, this darkly funny documentaries from South Africa (2018, TV-PG) follows characters caught in a surprising archive on the edge of collapse. As the pressure builds, someone must decide who to trust, and a plan goes sideways. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,A silent road,Quinn King,"Cameron Price, Morgan Reed",Other,2016,TV-MA,Dramas,2019,8,92,min,"In 92 min, this warm dramas from Other (2016, TV-MA) follows characters caught in a family fracture in a crowded city. As the pressure builds, someone risks everything, and nothing is what it seems. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Equation before Glass,Mia Lopez,"James Rodriguez, Daniel Martin",United States,2017,TV-MA,Action & Adventure,2018,6,90,min,"In 90 min, this tense action & adventure from United States (2017, TV-MA) follows characters caught in a city under siege on the edge of collapse. As the pressure builds, someone chases a lead, and nothing is what it seems. Secrets surface, alliances shift, and the ending rewards careful attention."
TV Show,Final Code,Kai Bennett,"Drew Carter, Jamie Carter",Other,2017,TV-14,International TV Shows,2017,3,4,Seasons,"Across 4 seasonss, this quietly emotional international tv shows from Other (2017, TV-14) follows characters caught in an unexpected friendship in a crowded city. As the pressure builds, someone risks everything, and nothing is what it seems. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,The Season Files,Hyun-woo Cho,"Hye-jin Seo, Joon-ho Jung",South Korea,2017,TV-MA,Documentaries,2020,4,110,min,"In 110 min, this tense documentaries from South Korea (2017, TV-MA) follows characters caught in a surprising archive on the edge of collapse. As the pressure builds, someone faces a countdown, and old wounds reopen. Secrets surface, alliances shift, and the ending rewards careful attention."
TV Show,A iron witness,Mia Davis,"David Taylor, Chloe Williams",United States,2014,TV-MA,Crime TV Shows,2014,12,8,Seasons,"Across 8 seasonss, this stylish crime tv shows from United States (2014, TV-MA) follows characters caught in a strange discovery on the edge of collapse. As the pressure builds, someone faces a countdown, and everything changes overnight. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Signal against Gold,Holly Hall,"Arthur Patel, Megan Smith",United Kingdom,2019,TV-14,Dramas,2020,9,103,min,"In 103 min, this stylish dramas from United Kingdom (2019, TV-14) follows characters caught in a hidden past in a tight-knit community. As the pressure builds, someone protects what matters most, and the past bites back. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Storm against Glass,Rowan Stone,"Avery Gray, Riley Gray",Other,2018,TV-MA,Action & Adventure,2018,7,88,min,"In 88 min, this darkly funny action & adventure from Other (2018, TV-MA) follows characters caught in a daring rescue in a tight-knit community. As the pressure builds, someone protects what matters most, and a pact is tested. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Strange Journey,Ara Ahn,"Min-jun Hong, Hyun-woo Hwang",South Korea,2014,TV-MA,Comedies,2017,10,111,min,"In 111 min, this stylish comedies from South Korea (2014, TV-MA) follows characters caught in a disastrous plan behind closed doors. As the pressure builds, someone risks everything, and nothing is what it seems. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Accidentally Garden,Ryan Williams,"Daniel Thomas, Daniel Moore",United States,2015,TV-MA,Stand-Up Comedy,2016,12,97,min,"In 97 min, this tense stand-up comedy from United States (2015, TV-MA) follows characters caught in an awkward reunion under bright studio lights. As the pressure builds, someone protects what matters most, and old wounds reopen. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,TheCrimson Line,Naina Kapoor,"Arjun Agarwal, Arjun Chaudhary",India,2016,TV-MA,Horror Movies,2017,12,99,min,"In 99 min, this fast-paced horror movies from India (2016, TV-MA) follows characters caught in a night that won't end in a tight-knit community. As the pressure builds, someone unravels a cover-up, and a plan goes sideways. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Golden Signal,Drew Stone,"Sasha Ward, Jamie Price",Germany,2017,PG-13,Anime Features,2017,7,98,min,"In 98 min, this grounded anime features from Germany (2017, PG-13) follows characters caught in a risky deal on the edge of collapse. As the pressure builds, someone must decide who to trust, and the clock runs out. Secrets surface, alliances shift, and the ending rewards careful attention."
TV Show,Last Mirror,Taylor Gray,"Jamie Coleman, Skyler Foster","Canada, United States",2019,TV-14,Docuseries,2019,11,1,Season,"Across 1 season, this tense docuseries from Canada, United States (2019, TV-14) follows characters caught in a race against time in a tight-knit community. As the pressure builds, someone protects what matters most, and a pact is tested. Secrets surface, alliances shift, and the ending rewards careful attention."
TV Show,A crimson ritual,Sam Collins,"Cameron Collins, Reese Morgan",Turkey,2018,TV-G,British TV Shows,2018,11,8,Seasons,"Across 8 seasonss, this grounded british tv shows from Turkey (2018, TV-G) follows characters caught in a complicated romance on the edge of collapse. As the pressure builds, someone protects what matters most, and a secret resurfaces. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Wild Ritual,Jamie Foster,"Morgan Ward, Rowan Parker",South Africa,2013,TV-PG,Dramas,2017,4,53,min,"In 53 min, this tense dramas from South Africa (2013, TV-PG) follows characters caught in a public scandal under bright studio lights. As the pressure builds, someone risks everything, and nothing is what it seems. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Accidentally Equation,Megan Brown,"Amelia Edwards, Oliver Taylor",United Kingdom,2015,TV-MA,Stand-Up Comedy,2017,3,103,min,"In 103 min, this tense stand-up comedy from United Kingdom (2015, TV-MA) follows characters caught in an awkward reunion under bright studio lights. As the pressure builds, someone unravels a cover-up, and a plan goes sideways. Secrets surface, alliances shift, and the ending rewards careful attention."
TV Show,Final Empire,Olivia Gonzalez,"Michael Gonzalez, Ethan Anderson",United States,2021,TV-MA,International TV Shows,2021,6,2,Seasons,"Across 2 seasonss, this quietly emotional international tv shows from United States (2021, TV-MA) follows characters caught in an unexpected friendship on the edge of collapse. As the pressure builds, someone protects what matters most, and old wounds reopen. Secrets surface, alliances shift, and the ending rewards careful attention."
TV Show,Heist after Glass,Jordan Price,"Kai Carter, Drew Carter",Other,2016,TV-14,Crime TV Shows,2016,5,1,Season,"Across 1 season, this sharp-edged crime tv shows from Other (2016, TV-14) follows characters caught in a strange discovery in a tight-knit community. As the pressure builds, someone chases a lead, and everything changes overnight. Secrets surface, alliances shift, and the ending rewards careful attention."
Movie,Neon Signal,Riley Reed,"Charlie Reed, Jamie Walker",Australia,2020,TV-MA,Dramas,2020,4,95,min,"In 95 min, this warm dramas from Australia (2020, TV-MA) follows characters caught in a family fracture in a tight-knit community. As the pressure builds, someone chases a lead, and the clock runs out. Secrets surface, alliances shift, and the ending rewards careful attention."
